Rank,Company,Symbol,YTD Return
156,NORTHROP GRUMMAN CORP,NOC,
157,IDEXX LABORATORIES INC,IDXX,
158,ILLINOIS TOOL WORKS,ITW,
159,ZOETIS INC,ZTS,
160,TRANSDIGM GROUP INC,TDG,
161,BOSTON SCIENTIFIC CORP,BSX,
162,SHERWIN WILLIAMS CO/THE,SHW,
163,WATERS CORP,WAT,
164,CAMDEN PROPERTY TRUST,CPT,
165,PROCTER + GAMBLE CO/THE,PG,
166,DOMINION ENERGY INC,D,
167,KRAFT HEINZ CO/THE,KHC,
168,CISCO SYSTEMS INC,CSCO,
169,DOMINO S PIZZA INC,DPZ,
170,ESSEX PROPERTY TRUST INC,ESS,
171,NISOURCE INC,NI,
172,CARDINAL HEALTH INC,CAH,
173,ZIMMER BIOMET HOLDINGS INC,ZBH,
174,COTERRA ENERGY INC,CTRA,
175,ALEXANDRIA REAL ESTATE EQUIT,ARE,
176,DARDEN RESTAURANTS INC,DRI,
177,PUBLIC STORAGE,PSA,
178,AIR PRODUCTS + CHEMICALS INC,APD,
179,STEEL DYNAMICS INC,STLD,
180,REGENERON PHARMACEUTICALS,REGN,
181,DEVON ENERGY CORP,DVN,
182,FISERV INC,FI,
183,GARMIN LTD,GRMN,
184,HUNTINGTON INGALLS INDUSTRIE,HII,
185,EXTRA SPACE STORAGE INC,EXR,
186,EXXON MOBIL CORP,XOM,
187,L3HARRIS TECHNOLOGIES INC,LHX,
188,TE CONNECTIVITY PLC,TEL,
189,AUTOMATIC DATA PROCESSING,ADP,
190,RESMED INC,RMD,
191,MICRON TECHNOLOGY INC,MU,
192,VALERO ENERGY CORP,VLO,
193,TELEDYNE TECHNOLOGIES INC,TDY,
194,AFLAC INC,AFL,
195,GENERAL DYNAMICS CORP,GD,
196,ALLSTATE CORP,ALL,
197,LYONDELLBASELL INDU CL A,LYB,
198,EQT CORP,EQT,
199,INCYTE CORP,INCY,
200,BROADRIDGE FINANCIAL SOLUTIO,BR,
201,STRYKER CORP,SYK,
202,PEPSICO INC,PEP,
203,XCEL ENERGY INC,XEL,
204,EOG RESOURCES INC,EOG,
205,WYNN RESORTS LTD,WYNN,
206,GENERAL MILLS INC,GIS,
207,NEWS CORP   CLASS B,NWS,
208,LAM RESEARCH CORP,LRCX,
209,META PLATFORMS INC CLASS A,META,
210,SMITH (A.O.) CORP,AOS,
211,MASTERCARD INC   A,MA,
212,UDR INC,UDR,
213,COSTCO WHOLESALE CORP,COST,
214,HEALTHPEAK PROPERTIES INC,DOC,
215,NORFOLK SOUTHERN CORP,NSC,
216,MASCO CORP,MAS,
217,KELLANOVA,K,
218,ANALOG DEVICES INC,ADI,
219,FORTINET INC,FTNT,
220,DAVITA INC,DVA,
221,NORDSON CORP,NDSN,
222,KEURIG DR PEPPER INC,KDP,
223,THERMO FISHER SCIENTIFIC INC,TMO,
224,ALLEGION PLC,ALLE,
225,MOSAIC CO/THE,MOS,
226,GEN DIGITAL INC,GEN,
227,PALANTIR TECHNOLOGIES INC A,PLTR,
228,NIKE INC  CL B,NKE,
229,OLD DOMINION FREIGHT LINE,ODFL,
230,QUALCOMM INC,QCOM,
231,SYSCO CORP,SYY,
232,DUPONT DE NEMOURS INC,DD,
233,INTERPUBLIC GROUP OF COS INC,IPG,
234,FORD MOTOR CO,F,
235,AIRBNB INC CLASS A,ABNB,
236,NXP SEMICONDUCTORS NV,NXPI,
237,PFIZER INC,PFE,
238,THE CAMPBELL S COMPANY,CPB,
239,BAKER HUGHES CO,BKR,
240,LOEWS CORP,L,
241,BECTON DICKINSON AND CO,BDX,
242,WARNER BROS DISCOVERY INC,WBD,
243,ARCHER DANIELS MIDLAND CO,ADM,
244,SEAGATE TECHNOLOGY HOLDINGS,STX,
245,REGENCY CENTERS CORP,REG,
246,SNAP ON INC,SNA,
247,TARGA RESOURCES CORP,TRGP,
248,BROWN FORMAN CORP CLASS B,BF.B,
249,FORTIVE CORP,FTV,
250,WILLIAMS COS INC,WMB,
251,AVERY DENNISON CORP,AVY,
252,CONAGRA BRANDS INC,CAG,
253,AMETEK INC,AME,
254,TEXAS INSTRUMENTS INC,TXN,
255,INTEL CORP,INTC,
256,OMNICOM GROUP,OMC,
257,NEWS CORP   CLASS A,NWSA,
258,LENNOX INTERNATIONAL INC,LII,
259,TYLER TECHNOLOGIES INC,TYL,
260,HUMANA INC,HUM,
261,FIRSTENERGY CORP,FE,
262,NORTHERN TRUST CORP,NTRS,
263,EQUITY RESIDENTIAL,EQR,
264,JOHNSON CONTROLS INTERNATION,JCI,
265,FRANKLIN RESOURCES INC,BEN,
266,TEXTRON INC,TXT,
267,PULTEGROUP INC,PHM,
268,LOCKHEED MARTIN CORP,LMT,
269,BIOGEN INC,BIIB,
270,EVEREST GROUP LTD,EG,
271,VERALTO CORP,VLTO,
272,AVALONBAY COMMUNITIES INC,AVB,
273,C.H. ROBINSON WORLDWIDE INC,CHRW,
274,MONOLITHIC POWER SYSTEMS INC,MPWR,
275,ARCH CAPITAL GROUP LTD,ACGL,
276,CARRIER GLOBAL CORP,CARR,
277,LOWE S COS INC,LOW,
278,BUNGE GLOBAL SA,BG,
279,CENTENE CORP,CNC,
280,EQUIFAX INC,EFX,
281,S+P GLOBAL INC,SPGI,
282,MATCH GROUP INC,MTCH,
283,BALL CORP,BALL,
284,ADOBE INC,ADBE,
285,MARATHON PETROLEUM CORP,MPC,
286,CDW CORP/DE,CDW,
287,TJX COMPANIES INC,TJX,
288,GARTNER INC,IT,
289,UNIVERSAL HEALTH SERVICES B,UHS,
290,NETFLIX INC,NFLX,
291,WALMART INC,WMT,
292,MOHAWK INDUSTRIES INC,MHK,
293,JPMORGAN CHASE + CO,JPM,
294,METLIFE INC,MET,
295,HILTON WORLDWIDE HOLDINGS IN,HLT,
296,HORMEL FOODS CORP,HRL,
297,WW GRAINGER INC,GWW,
298,CINCINNATI FINANCIAL CORP,CINF,
299,HOME DEPOT INC,HD,
300,ASSURANT INC,AIZ,
301,SCHWAB (CHARLES) CORP,SCHW,
302,COMCAST CORP CLASS A,CMCSA,
303,ESTEE LAUDER COMPANIES CL A,EL,
304,IQVIA HOLDINGS INC,IQV,
305,PPG INDUSTRIES INC,PPG,
306,ELECTRONIC ARTS INC,EA,
307,SIMON PROPERTY GROUP INC,SPG,
308,CORPAY INC,CPAY,
309,CBRE GROUP INC   A,CBRE,
310,CUMMINS INC,CMI,
311,OCCIDENTAL PETROLEUM CORP,OXY,
312,DR HORTON INC,DHI,
313,CITIGROUP INC,C,
314,MERCK + CO. INC.,MRK,
315,JUNIPER NETWORKS INC,JNPR,
316,UNITED PARCEL SERVICE CL B,UPS,
317,PALO ALTO NETWORKS INC,PANW,
318,KINDER MORGAN INC,KMI,
319,PARKER HANNIFIN CORP,PH,
320,LEIDOS HOLDINGS INC,LDOS,
321,ACCENTURE PLC CL A,ACN,
322,KEYSIGHT TECHNOLOGIES IN,KEYS,
323,CATERPILLAR INC,CAT,
324,MOODY S CORP,MCO,
325,WELLS FARGO + CO,WFC,
326,INTL FLAVORS + FRAGRANCES,IFF,
327,CSX CORP,CSX,
328,UNITEDHEALTH GROUP INC,UNH,
329,CHARLES RIVER LABORATORIES,CRL,
330,BUILDERS FIRSTSOURCE INC,BLDR,
331,LIVE NATION ENTERTAINMENT IN,LYV,
332,EXPEDIA GROUP INC,EXPE,
333,DOVER CORP,DOV,
334,CORNING INC,GLW,
335,HONEYWELL INTERNATIONAL INC,HON,
336,ROCKWELL AUTOMATION INC,ROK,
337,RALPH LAUREN CORP,RL,
338,ANSYS INC,ANSS,
339,NASDAQ INC,NDAQ,
340,WORKDAY INC CLASS A,WDAY,
341,TRIMBLE INC,TRMB,
342,MARKETAXESS HOLDINGS INC,MKTX,
343,NRG ENERGY INC,NRG,
344,BORGWARNER INC,BWA,
345,HUNT (JB) TRANSPRT SVCS INC,JBHT,
346,CONOCOPHILLIPS,COP,
347,MICROCHIP TECHNOLOGY INC,MCHP,
348,DOW INC,DOW,
349,TRUIST FINANCIAL CORP,TFC,
350,PUBLIC SERVICE ENTERPRISE GP,PEG,
351,FIFTH THIRD BANCORP,FITB,
352,GOLDMAN SACHS GROUP INC,GS,
353,INTERNATIONAL PAPER CO,IP,
354,JABIL INC,JBL,
355,WALT DISNEY CO/THE,DIS,
356,EDWARDS LIFESCIENCES CORP,EW,
357,WABTEC CORP,WAB,
358,JACOBS SOLUTIONS INC,J,
359,INTUITIVE SURGICAL INC,ISRG,
360,M + T BANK CORP,MTB,
361,INGERSOLL RAND INC,IR,
362,INTUIT INC,INTU,
363,APPLIED MATERIALS INC,AMAT,
364,FACTSET RESEARCH SYSTEMS INC,FDS,
365,MARRIOTT INTERNATIONAL  CL A,MAR,
366,ENPHASE ENERGY INC,ENPH,
367,COPART INC,CPRT,
368,MGM RESORTS INTERNATIONAL,MGM,
369,BEST BUY CO INC,BBY,
370,CAPITAL ONE FINANCIAL CORP,COF,
371,HP INC,HPQ,
372,LENNAR CORP A,LEN,
373,NVR INC,NVR,
374,BXP INC,BXP,
375,TRANE TECHNOLOGIES PLC,TT,
376,HALLIBURTON CO,HAL,
377,REGIONS FINANCIAL CORP,RF,
378,AES CORP,AES,
379,CLOROX COMPANY,CLX,
380,ONEOK INC,OKE,
381,HOLOGIC INC,HOLX,
382,CITIZENS FINANCIAL GROUP,CFG,
383,DEXCOM INC,DXCM,
384,MSCI INC,MSCI,
385,APPLE INC,AAPL,
386,INSULET CORP,PODD,
387,KIMCO REALTY CORP,KIM,
388,HOST HOTELS + RESORTS INC,HST,
389,AGILENT TECHNOLOGIES INC,A,
390,MARTIN MARIETTA MATERIALS,MLM,
391,BANK OF AMERICA CORP,BAC,
392,DISCOVER FINANCIAL SERVICES,DFS,
393,FREEPORT MCMORAN INC,FCX,
394,PNC FINANCIAL SERVICES GROUP,PNC,
395,CARMAX INC,KMX,
396,CONSTELLATION ENERGY,CEG,
397,CF INDUSTRIES HOLDINGS INC,CF,
398,CROWDSTRIKE HOLDINGS INC   A,CRWD,
399,GENERAL MOTORS CO,GM,
400,EMERSON ELECTRIC CO,EMR,
401,AMERIPRISE FINANCIAL INC,AMP,
402,MICROSOFT CORP,MSFT,
403,DOLLAR TREE INC,DLTR,
404,HUNTINGTON BANCSHARES INC,HBAN,
405,MOTOROLA SOLUTIONS INC,MSI,
406,ROYAL CARIBBEAN CRUISES LTD,RCL,
407,PRUDENTIAL FINANCIAL INC,PRU,
408,BOOKING HOLDINGS INC,BKNG,
409,DANAHER CORP,DHR,
410,ORACLE CORP,ORCL,
411,BLACKROCK INC,BLK,
412,FEDERAL REALTY INVS TRUST,FRT,
413,IDEX CORP,IEX,
414,AMPHENOL CORP CL A,APH,
415,MORGAN STANLEY,MS,
416,ALBEMARLE CORP,ALB,
417,AMAZON.COM INC,AMZN,
418,RAYMOND JAMES FINANCIAL INC,RJF,
419,US BANCORP,USB,
420,SYNOPSYS INC,SNPS,
421,PACKAGING CORP OF AMERICA,PKG,
422,KEYCORP,KEY,
423,STATE STREET CORP,STT,
424,LAS VEGAS SANDS CORP,LVS,
425,FIDELITY NATIONAL INFO SERV,FIS,
426,ALPHABET INC CL C,GOOG,
427,EQUINIX INC,EQIX,
428,AMERICAN EXPRESS CO,AXP,
429,AKAMAI TECHNOLOGIES INC,AKAM,
430,FEDEX CORP,FDX,
431,ALPHABET INC CL A,GOOGL,
432,PTC INC,PTC,
433,GODADDY INC   CLASS A,GDDY,
434,ROSS STORES INC,ROST,
435,T ROWE PRICE GROUP INC,TROW,
436,BIO TECHNE CORP,TECH,
437,LULULEMON ATHLETICA INC,LULU,
438,COOPER COS INC/THE,COO,
439,AXON ENTERPRISE INC,AXON,
440,GLOBAL PAYMENTS INC,GPN,
441,MODERNA INC,MRNA,
442,VULCAN MATERIALS CO,VMC,
443,DIAMONDBACK ENERGY INC,FANG,
444,CONSTELLATION BRANDS INC A,STZ,
445,FMC CORP,FMC,
446,FAIR ISAAC CORP,FICO,
447,UNITED RENTALS INC,URI,
448,INVESCO LTD,IVZ,
449,GENERAC HOLDINGS INC,GNRC,
450,PENTAIR PLC,PNR,
451,TARGET CORP,TGT,
452,AUTODESK INC,ADSK,
453,SOUTHWEST AIRLINES CO,LUV,
454,BOEING CO/THE,BA,
455,EATON CORP PLC,ETN,
456,TERADYNE INC,TER,
457,DELTA AIR LINES INC,DAL,
458,CHIPOTLE MEXICAN GRILL INC,CMG,
459,APA CORP,APA,
460,GE VERNOVA INC,GEV,
461,DIGITAL REALTY TRUST INC,DLR,
462,SALESFORCE INC,CRM,
463,CAESARS ENTERTAINMENT INC,CZR,
464,ULTA BEAUTY INC,ULTA,
465,EPAM SYSTEMS INC,EPAM,
466,SKYWORKS SOLUTIONS INC,SWKS,
467,BLACKSTONE INC,BX,
468,HUBBELL INC,HUBB,
469,SYNCHRONY FINANCIAL,SYF,
470,SMURFIT WESTROCK PLC,SW,
471,ADVANCED MICRO DEVICES,AMD,
472,UNITED AIRLINES HOLDINGS INC,UAL,
473,PAYPAL HOLDINGS INC,PYPL,
474,NVIDIA CORP,NVDA,
475,BROADCOM INC,AVGO,
476,IRON MOUNTAIN INC,IRM,
477,NETAPP INC,NTAP,
478,SEMPRA,SRE,
479,P G + E CORP,PCG,
480,VISTRA CORP,VST,
481,LAMB WESTON HOLDINGS INC,LW,
482,DELL TECHNOLOGIES  C,DELL,
483,ALIGN TECHNOLOGY INC,ALGN,
484,CELANESE CORP,CE,
485,CADENCE DESIGN SYS INC,CDNS,
486,TELEFLEX INC,TFX,
487,CARNIVAL CORP,CCL,
488,VIATRIS INC,VTRS,
489,APOLLO GLOBAL MANAGEMENT INC,APO,
490,FIRST SOLAR INC,FSLR,
491,DAYFORCE INC,DAY,
492,QUANTA SERVICES INC,PWR,
493,SERVICENOW INC,NOW,
494,ZEBRA TECHNOLOGIES CORP CL A,ZBRA,
495,KKR + CO INC,KKR,
496,NORWEGIAN CRUISE LINE HOLDIN,NCLH,
497,EDISON INTERNATIONAL,EIX,
498,HEWLETT PACKARD ENTERPRISE,HPE,
499,ARISTA NETWORKS INC,ANET,
500,ON SEMICONDUCTOR,ON,
501,WEST PHARMACEUTICAL SERVICES,WST,
502,WESTERN DIGITAL CORP,WDC,
503,DECKERS OUTDOOR CORP,DECK,
504,TESLA INC,TSLA,
